"date","location","count of orders","average click to ship","average ship to porch"
"2022-01-01 00:00:00","HQ DC : HQ DC - goodr.com",11,4.7120,5.7499
"2022-01-02 00:00:00","HQ DC : HQ DC - goodr.com",10,4.4333,3.4333
"2022-01-03 00:00:00","HQ DC : HQ DC - goodr.com",11,4.7764,4.6514
"2022-01-04 00:00:00","HQ DC : HQ DC - goodr.com",10,5.3707,3.3499
"2022-01-05 00:00:00","HQ DC : HQ DC - goodr.com",8,5.2708,5.2968
"2022-01-06 00:00:00","HQ DC : HQ DC - goodr.com",9,5.3518,3.8749
"2022-01-07 00:00:00","HQ DC : HQ DC - goodr.com",8,3.4062,4.2760
"2022-01-08 00:00:00","HQ DC : HQ DC - goodr.com",16,3.2109,4.8332
"2022-01-09 00:00:00","HQ DC : HQ DC - goodr.com",14,2.2737,4.7410
"2022-01-10 00:00:00","HQ DC : HQ DC - goodr.com",22,1.9374,5.1666
"2022-01-11 00:00:00","HQ DC : HQ DC - goodr.com",10,1.3332,4.1333
"2022-01-12 00:00:00","HQ DC : HQ DC - goodr.com",7,2.1666,5.4702
"2022-01-13 00:00:00","HQ DC : HQ DC - goodr.com",7,1.6666,7.0952
"2022-01-14 00:00:00","HQ DC : HQ DC - goodr.com",38,3.9265,5.0854
"2022-01-15 00:00:00","HQ DC : HQ DC - goodr.com",23,4.0090,5.1883
"2022-01-16 00:00:00","HQ DC : HQ DC - goodr.com",10,3.2499,4.7041
"2022-01-17 00:00:00","HQ DC : HQ DC - goodr.com",45,3.6064,6.2675
"2022-01-18 00:00:00","HQ DC : HQ DC - goodr.com",12,3.9409,5.3576
"2022-01-19 00:00:00","HQ DC : HQ DC - goodr.com",8,3.2135,5.1562
"2022-01-20 00:00:00","HQ DC : HQ DC - goodr.com",6,3.8680,4.7638
"2022-01-21 00:00:00","HQ DC : HQ DC - goodr.com",11,3.5189,3.7461
"2022-01-22 00:00:00","HQ DC : HQ DC - goodr.com",11,3.4962,4.4317
"2022-01-23 00:00:00","HQ DC : HQ DC - goodr.com",15,2.9416,3.9944
"2022-01-24 00:00:00","HQ DC : HQ DC - goodr.com",12,3.2985,4.0798
"2022-01-25 00:00:00","HQ DC : HQ DC - goodr.com",15,3.0582,5.0249
"2022-01-26 00:00:00","HQ DC : HQ DC - goodr.com",13,4.3493,4.7339
"2022-01-27 00:00:00","HQ DC : HQ DC - goodr.com",9,3.9212,4.9629
"2022-01-28 00:00:00","HQ DC : HQ DC - goodr.com",8,4.0832,4.9166
"2022-01-29 00:00:00","HQ DC : HQ DC - goodr.com",8,3.3072,4.7656
"2022-01-30 00:00:00","HQ DC : HQ DC - goodr.com",18,2.3032,5.2569
"2022-01-31 00:00:00","HQ DC : HQ DC - goodr.com",10,1.1499,4.5249
"2022-02-01 00:00:00","HQ DC : HQ DC - goodr.com",57,1.7258,4.7353
"2022-02-02 00:00:00","HQ DC : HQ DC - goodr.com",12,1.6214,4.8853
"2022-02-03 00:00:00","HQ DC : HQ DC - goodr.com",9,2.4258,4.5971
"2022-02-04 00:00:00","HQ DC : HQ DC - goodr.com",11,2.1211,4.5795
"2022-02-05 00:00:00","HQ DC : HQ DC - goodr.com",17,2.8921,4.1347
"2022-02-06 00:00:00","HQ DC : HQ DC - goodr.com",21,2.7122,4.2836
"2022-02-07 00:00:00","HQ DC : HQ DC - goodr.com",15,2.1471,5.2277
"2022-02-08 00:00:00","HQ DC : HQ DC - goodr.com",15,1.5083,6.0444
"2022-02-09 00:00:00","HQ DC : HQ DC - goodr.com",15,1.4055,5.3138
"2022-02-09 00:00:00","HQ DC : HQ DC - sellgoodr",1,1.5833,6.2083
"2022-02-10 00:00:00","HQ DC : HQ DC - sellgoodr",1,3.5833,3.2500
"2022-02-10 00:00:00","HQ DC : HQ DC - goodr.com",18,1.1342,5.0208
"2022-02-11 00:00:00","HQ DC : HQ DC - goodr.com",14,2.6190,5.0594
"2022-02-12 00:00:00","HQ DC : HQ DC - goodr.com",21,2.5793,3.7102
"2022-02-13 00:00:00","HQ DC : HQ DC - goodr.com",12,2.6388,4.1076
"2022-02-14 00:00:00","HQ DC : HQ DC - goodr.com",18,1.9745,4.0948
"2022-02-14 00:00:00","HQ DC : HQ DC - sellgoodr",1,1.4583,5.2500
"2022-02-15 00:00:00","HQ DC : HQ DC - goodr.com",18,1.5833,4.5462
"2022-02-16 00:00:00","HQ DC : HQ DC - goodr.com",21,1.3571,4.1388
"2022-02-17 00:00:00","HQ DC : HQ DC - goodr.com",14,1.8838,4.1160
"2022-02-18 00:00:00","HQ DC : HQ DC - goodr.com",10,4.2958,3.4832
"2022-02-19 00:00:00","HQ DC : HQ DC - goodr.com",39,4.1367,4.1142
"2022-02-20 00:00:00","HQ DC : HQ DC - goodr.com",26,4.9919,4.0560
"2022-02-21 00:00:00","HQ DC : HQ DC - goodr.com",39,5.0576,3.5961
"2022-02-22 00:00:00","HQ DC : HQ DC - goodr.com",31,6.3212,3.5631
"2022-02-23 00:00:00","HQ DC : HQ DC - goodr.com",21,5.4741,3.4404
"2022-02-24 00:00:00","HQ DC : HQ DC - goodr.com",8,5.1353,3.6249
"2022-02-25 00:00:00","HQ DC : HQ DC - goodr.com",148,4.0278,3.2429
"2022-02-26 00:00:00","HQ DC : HQ DC - goodr.com",1075,4.0230,3.7614
"2022-02-27 00:00:00","HQ DC : HQ DC - goodr.com",1344,3.8017,4.6459
"2022-02-28 00:00:00","HQ DC : HQ DC - goodr.com",1130,3.6710,5.3189
"2022-02-28 00:00:00","HQ DC : HQ DC - sellgoodr",1,1.5833,7.9583
"2022-03-01 00:00:00","HQ DC : HQ DC - goodr.com",1494,3.5411,5.8285
"2022-03-02 00:00:00","HQ DC : HQ DC - goodr.com",1208,5.4810,4.8379
"2022-03-02 00:00:00","HQ DC : HQ DC - sellgoodr",1,4.5000,10.0000
"2022-03-03 00:00:00","HQ DC : HQ DC - goodr.com",1066,5.8191,4.2782
"2022-03-04 00:00:00","HQ DC : HQ DC - goodr.com",1502,5.5135,4.6077
"2022-03-05 00:00:00","HQ DC : HQ DC - goodr.com",1481,6.1995,5.9391
"2022-03-06 00:00:00","HQ DC : HQ DC - goodr.com",1384,7.3327,4.8131
"2022-03-07 00:00:00","HQ DC : HQ DC - goodr.com",1122,6.6497,4.6148
"2022-03-08 00:00:00","HQ DC : HQ DC - goodr.com",1045,6.1718,4.3730
"2022-03-09 00:00:00","HQ DC : HQ DC - goodr.com",1394,5.6768,4.0800
"2022-03-10 00:00:00","HQ DC : HQ DC - goodr.com",1045,4.9264,4.1256
"2022-03-11 00:00:00","HQ DC : HQ DC - goodr.com",1208,4.2078,4.3478
"2022-03-12 00:00:00","HQ DC : HQ DC - goodr.com",1280,3.6107,4.4049
"2022-03-13 00:00:00","HQ DC : HQ DC - goodr.com",1355,3.1716,4.5817
"2022-03-14 00:00:00","HQ DC : HQ DC - goodr.com",1444,3.9366,5.0433
"2022-03-15 00:00:00","HQ DC : HQ DC - goodr.com",1134,4.0420,5.0354
"2022-03-16 00:00:00","HQ DC : HQ DC - goodr.com",966,4.7507,4.4702
"2022-03-17 00:00:00","HQ DC : HQ DC - goodr.com",1011,4.1342,4.3137
"2022-03-18 00:00:00","HQ DC : HQ DC - goodr.com",1662,3.9486,4.1492
"2022-03-19 00:00:00","HQ DC : HQ DC - goodr.com",1522,3.5123,4.3280
"2022-03-20 00:00:00","HQ DC : HQ DC - goodr.com",1798,3.9966,3.9699
"2022-03-21 00:00:00","HQ DC : HQ DC - goodr.com",1428,6.4657,3.8054
"2022-03-22 00:00:00","HQ DC : HQ DC - goodr.com",1173,5.9443,3.8418
"2022-03-23 00:00:00","HQ DC : HQ DC - sellgoodr",2,10.2708,6.1874
"2022-03-23 00:00:00","HQ DC : HQ DC - goodr.com",1225,5.1848,3.7879
"2022-03-24 00:00:00","HQ DC : HQ DC - goodr.com",1161,4.4511,3.8228
"2022-03-25 00:00:00","HQ DC : HQ DC - goodr.com",1869,4.5587,3.6388
"2022-03-26 00:00:00","HQ DC : HQ DC - goodr.com",1692,4.0061,3.7070
"2022-03-27 00:00:00","HQ DC : HQ DC - goodr.com",1883,3.8094,4.0834
"2022-03-28 00:00:00","HQ DC : HQ DC - goodr.com",1680,4.1398,5.2190
"2022-03-29 00:00:00","HQ DC : HQ DC - goodr.com",1274,4.6175,4.6960
"2022-03-30 00:00:00","HQ DC : HQ DC - goodr.com",2945,4.6933,3.7132
"2022-03-31 00:00:00","HQ DC : HQ DC - goodr.com",1129,4.1767,3.6076
"2022-04-01 00:00:00","HQ DC : HQ DC - goodr.com",1247,3.9876,3.2731
"2022-04-02 00:00:00","HQ DC : HQ DC - sellgoodr",1,6.3750,6.1250
"2022-04-02 00:00:00","HQ DC : HQ DC - goodr.com",1444,3.8906,4.1742
"2022-04-03 00:00:00","HQ DC : HQ DC - goodr.com",1645,3.5696,4.0416
"2022-04-04 00:00:00","HQ DC : HQ DC - goodr.com",1386,2.9266,4.1425
"2022-04-05 00:00:00","HQ DC : HQ DC - goodr.com",1961,3.7948,4.4842
"2022-04-06 00:00:00","HQ DC : HQ DC - goodr.com",1520,4.6831,3.8433
"2022-04-07 00:00:00","HQ DC : HQ DC - sellgoodr",1,6.9583,5.9583
"2022-04-07 00:00:00","HQ DC : HQ DC - goodr.com",1297,4.0976,3.6887
"2022-04-08 00:00:00","HQ DC : HQ DC - goodr.com",1479,3.6683,3.7847
"2022-04-09 00:00:00","HQ DC : HQ DC - goodr.com",1672,3.0987,3.6305
"2022-04-10 00:00:00","HQ DC : HQ DC - goodr.com",1798,2.4724,3.7215
"2022-04-11 00:00:00","HQ DC : HQ DC - sellgoodr",1,6.7500,4.0000
"2022-04-11 00:00:00","HQ DC : HQ DC - goodr.com",1479,2.5825,4.4939
"2022-04-12 00:00:00","HQ DC : HQ DC - goodr.com",2087,3.2242,4.8964
"2022-04-12 00:00:00","HQ DC : HQ DC - sellgoodr",1,6.5000,4.0416
"2022-04-13 00:00:00","HQ DC : HQ DC - sellgoodr",1,5.6666,6.1250
"2022-04-13 00:00:00","HQ DC : HQ DC - goodr.com",1519,3.4135,4.4319
"2022-04-14 00:00:00","HQ DC : HQ DC - goodr.com",1389,4.1407,4.0283
"2022-04-15 00:00:00","HQ DC : HQ DC - goodr.com",1601,3.9268,3.7726
"2022-04-15 00:00:00","HQ DC : HQ DC - sellgoodr",1,3.5833,1.8333
"2022-04-16 00:00:00","HQ DC : HQ DC - goodr.com",1661,3.7608,3.7886
"2022-04-17 00:00:00","HQ DC : HQ DC - goodr.com",1605,3.4051,3.9088
"2022-04-18 00:00:00","HQ DC : HQ DC - goodr.com",1512,3.2750,4.2642
"2022-04-19 00:00:00","HQ DC : HQ DC - goodr.com",1406,3.7881,3.9797
"2022-04-19 00:00:00","HQ DC : HQ DC - sellgoodr",1,0.4166,2.2916
"2022-04-20 00:00:00","HQ DC : HQ DC - goodr.com",4136,3.1021,4.1669
"2022-04-21 00:00:00","HQ DC : HQ DC - goodr.com",1412,4.1940,4.0361
"2022-04-22 00:00:00","HQ DC : HQ DC - goodr.com",2144,3.4989,3.9884
"2022-04-23 00:00:00","HQ DC : HQ DC - goodr.com",2171,3.1052,3.9683
"2022-04-24 00:00:00","HQ DC : HQ DC - goodr.com",2443,2.7700,4.1893
"2022-04-25 00:00:00","HQ DC : HQ DC - goodr.com",1905,2.1605,4.0918
"2022-04-26 00:00:00","HQ DC : HQ DC - goodr.com",1775,1.5139,4.6394
"2022-04-26 00:00:00","HQ DC : HQ DC - sellgoodr",1,1.7916,5.9166
"2022-04-27 00:00:00","HQ DC : HQ DC - goodr.com",1775,1.5187,4.5660
"2022-04-27 00:00:00","HQ DC : HQ DC - sellgoodr",1,7.0416,4.7500
"2022-04-28 00:00:00","HQ DC : HQ DC - goodr.com",1586,1.8400,4.8806
"2022-04-29 00:00:00","HQ DC : HQ DC - goodr.com",1739,2.3550,4.4384
"2022-04-30 00:00:00","HQ DC : HQ DC - goodr.com",2114,2.4854,3.7154
"2022-05-01 00:00:00","HQ DC : HQ DC - goodr.com",2343,1.7224,3.7134
"2022-05-02 00:00:00","HQ DC : HQ DC - goodr.com",1881,1.3785,4.0517
"2022-05-03 00:00:00","HQ DC : HQ DC - goodr.com",1950,1.1062,4.2216
"2022-05-04 00:00:00","HQ DC : HQ DC - goodr.com",1622,0.8342,4.2014
"2022-05-05 00:00:00","HQ DC : HQ DC - goodr.com",1517,2.3456,4.9370
"2022-05-06 00:00:00","HQ DC : HQ DC - goodr.com",3221,3.5820,4.3561
"2022-05-07 00:00:00","HQ DC : HQ DC - sellgoodr",1,2.5416,7.2500
"2022-05-07 00:00:00","HQ DC : HQ DC - goodr.com",2315,2.8236,4.4776
"2022-05-08 00:00:00","HQ DC : HQ DC - goodr.com",2279,2.6208,4.7396
"2022-05-09 00:00:00","HQ DC : HQ DC - sellgoodr",3,4.1805,6.7499
"2022-05-09 00:00:00","HQ DC : HQ DC - goodr.com",2288,2.0880,4.8418
"2022-05-10 00:00:00","HQ DC : HQ DC - goodr.com",2069,2.0590,5.1113
"2022-05-10 00:00:00","HQ DC : HQ DC - sellgoodr",1,2.8750,6.0833
"2022-05-11 00:00:00","HQ DC : HQ DC - goodr.com",1932,1.8562,5.2442
"2022-05-12 00:00:00","HQ DC : HQ DC - goodr.com",1882,1.8014,5.0726
"2022-05-13 00:00:00","HQ DC : HQ DC - goodr.com",2253,2.8789,4.4781
"2022-05-14 00:00:00","HQ DC : HQ DC - goodr.com",2493,3.0325,3.9549
"2022-05-15 00:00:00","HQ DC : HQ DC - goodr.com",2729,2.8858,4.0566
"2022-05-16 00:00:00","HQ DC : HQ DC - goodr.com",2902,3.3357,3.9861
"2022-05-16 00:00:00","HQ DC : HQ DC - sellgoodr",2,2.4791,6.1874
"2022-05-17 00:00:00","HQ DC : HQ DC - sellgoodr",1,6.7916,3.7500
"2022-05-17 00:00:00","HQ DC : HQ DC - goodr.com",2328,4.7152,3.9284
"2022-05-18 00:00:00","HQ DC : HQ DC - goodr.com",2047,4.7111,4.0712
"2022-05-19 00:00:00","HQ DC : HQ DC - goodr.com",1863,4.5726,4.3048
"2022-05-20 00:00:00","HQ DC : HQ DC - goodr.com",2569,4.0362,4.0900
"2022-05-21 00:00:00","HQ DC : HQ DC - goodr.com",2678,3.5643,4.0056
"2022-05-22 00:00:00","HQ DC : HQ DC - goodr.com",2871,3.6691,4.6028
"2022-05-23 00:00:00","HQ DC : HQ DC - goodr.com",2316,3.5615,5.3629
"2022-05-23 00:00:00","HQ DC : HQ DC - sellgoodr",1,7.3750,6.2500
"2022-05-24 00:00:00","HQ DC : HQ DC - goodr.com",2076,3.3274,5.8219
